评论内容,性别,点赞数量,回复时间,tags,emotions
"根据美国快研制出疫苗就可以知道，这个病毒很有可能最早就在美国出现了[无语]
特朗普知道很难解决这次疫情，就知道甩锅[生气]",男,592,2020-04-04 12:45:08,0,平静/冷静
"我们只是被困住了两个月，他们却被永远困在了这个冬天。
默哀！[tv_大哭]",男,342,2020-04-04 12:12:25,0,愤怒/生气
"“中国人侮辱特朗普！”
“他们怎么做的？”
“他们把他说的话重复了一遍。”",保密,298,2020-04-04 18:52:10,0,愤怒/生气
致敬英雄，（不管是国内还是国外，为疫情做出贡献的，理应被致敬）,女,364,2020-04-04 12:56:11,1,愉快/幸福
特朗普就是那个唱红脸的，那个副总统是唱白脸的，美国政府就是串通一气的，别被骗了,保密,242,2020-04-04 12:53:00,0,惊讶/震惊
感谢所有在防疫一线奋斗的英雄，你们守护住了中国，希望被你们守护的我们可以让国家不再遭遇如此不幸。,保密,168,2020-04-04 12:14:03,0,愤怒/生气
"扩散前：
中国人：这个东西很危险的！ 外国人：哦
扩散后：
外国人：这个东西很危险的！ 中国人：哦                                                     转",保密,130,2020-04-04 16:14:20,1,悲伤/痛苦
向英雄致敬，向逝者致哀,女,153,2020-04-04 12:12:10,1,愉快/幸福
致敬烈士,保密,111,2020-04-04 12:12:17,0,恐惧/害怕
特朗普更适合讲相声或者演小品,保密,110,2020-04-04 13:28:19,1,希望/期待
瞎说什么大实话(〜￣△￣)〜,保密,903,2017-02-06 12:10:25,0,平静/冷静
震惊，美国总统竟说出如此话语，闻者伤心见者流泪！,保密,556,2017-02-06 12:10:47,0,愤怒/生气
前二十不会死于话多。话说川普真是捉摸不透啊，希望川普继承观海同志未完成的事业，把祖国的万里长城修到美国去！,男,526,2017-02-06 12:20:57,0,惊讶/震惊
"中国：美国挺不错的，科技水平领先世界，除了欠的钱还没还我还有老管我家务事以外其他都好。
美国：中国人民没有民主和自由，处在水深火热之中，急需我们发起救zhan助zheng啊！
川普：怎么 你以为我们国家就很民主与自由吗？
美国：这……美国人民的事，能叫水深火热吗？你身为堂堂美国总统，居然说出如此粗鄙之语，气……气死我了。",男,284,2017-02-06 13:36:17,0,愤怒/生气
喷毛子必带中国系列，真是人在家中坐，锅从天上来啊[小电视_思索],保密,113,2017-02-06 18:40:56,0,悲伤/痛苦
这是一个言论滋油的国家，所以你不要随便说话。→_→,男,86,2017-02-06 23:47:19,0,恐惧/害怕
这CNN评论员到过俄罗斯也到过中国，还能作出这样的对比，一定是没去过美国。,男,84,2017-02-06 23:52:14,1,悲伤/痛苦
对不起，请问一下，我们中国做过什么坏事了？我们有去破坏别人的家吗？我们只有去帮助别人发展，可没打过别人。什么和你一样坏，坏的只是你自己。,保密,66,2017-02-06 12:56:14,0,愤怒/生气
喵喵喵？资本主义是踩着非洲人民和亚洲人民的血泊出来的，感觉你们很正义是么？,男,46,2017-02-06 12:38:59,0,悲伤/痛苦
"评论员：我们是明主国家，怎么能拿我们和长期专制的国家比呢
翻译过来：明主的杀人能叫杀么，",男,41,2017-02-08 21:45:07,0,愤怒/生气
"美国的确没有长期专制历史。



问题是美国有“长期”历史么？",男,41,2017-02-07 23:15:59,0,厌恶/讨厌
为啥不能相提并论，美国就是双标狗????，其实自己最黑(=・ω・=),女,39,2017-02-06 12:18:20,0,厌恶/讨厌
说实话，我们没偷过没抢过，到现在为止获得的名声、财富、地位都是我们自己一分一分辛苦挣出来的，有时候该得到的还要据理力争才能要回来，你说我们坏？说我们流氓？我们无非是按自己的要求选择合作或不合作，你们却是对自己的利益选择害人或更害人。,保密,38,2017-02-07 13:00:30,0,愤怒/生气
我因为反对zang毒，我的推特账号被封了。,男,37,2017-02-06 18:28:17,0,厌恶/讨厌
民主已死，川普当立，岁在丁酉，美帝大吉,保密,28,2017-02-06 13:35:12,1,平静/冷静
突然感觉川普简直就是米国政·界的一股清流。,保密,27,2017-02-06 12:28:18,0,希望/期待
这是川普说过唯一正确的话。FBI CIA没杀过无辜人吗?美国人给中亚局势添了多少乱，美国军队在中南亚**多少作呕的事？更可笑的是竟然又无缘无故让中国躺枪，中国几千年道德文明价值观不比你们美国差吧，你们只是一个靠烧杀抢夺殖民地建立起来的所谓“普世价值观”的国家。另外，请让你们滚回你们的国家，这里没人承认你们是世界警察，你们有什么权利干涉别国内政。一个靠抢夺财富的国家，如今却跃身为维护世界和平的使者？我的三观啊，呵呵，*恶的美国，照照你们自己的狰狞嘴脸。,男,26,2017-02-08 13:20:56,0,愤怒/生气
如果说媒体是表子的话，川普还算是良家妇女,男,23,2017-02-06 15:59:05,1,平静/冷静
特朗普的意思是这世界上的国家各个都双手沾满鲜血，大家就不要五十步笑百步了！,男,23,2017-02-06 14:26:55,0,厌恶/讨厌
如此诚实的美国总统太少见了。( ´_ゝ｀),保密,19,2017-02-06 12:38:31,0,悲伤/痛苦
支持一下up！,男,2,2024-11-01 11:45:05,0,愉快/幸福
真不错，和川普握手真不错,男,15027,2020-08-11 15:53:26,1,愉快/幸福
和教皇握手哪里也太好笑了吧，看封面还以为是他夫人，结果是教皇[妙啊],保密,8719,2020-08-11 15:58:56,0,惊讶/震惊
[热词系列_秀],保密,9240,2020-08-11 15:53:44,0,平静/冷静
哈哈哈哈哈哈哈和安倍那个，他干嘛手心朝上啦，还握的那么紧哈哈哈哈哈哈哈哈哈,保密,2339,2020-08-11 16:10:00,0,平静/冷静
那个……教皇那一段是外国网友p的，两个镜头中川建国的袖口不一样，大家看个乐呵就好了ʕ๑•ɷ•๑ʔ❀,女,2193,2020-08-11 16:35:22,0,愉快/幸福
"美帝历代世系表：
太祖高皇帝华盛顿「公元1789-1797」
太宗文皇帝亚当斯「公元1797-1801」
世宗明皇帝杰斐逊「公元1801-1809」
高宗宪皇帝麦迪逊「公元1809-1817」
宣宗纯皇帝门罗「公元1817-1825」
庄宗哀皇帝小亚当斯「公元1825-1829」
武宗懿皇帝杰克逊「公元1829-1837」
惠宗愍皇帝范布伦「公元1837-1841」
代宗厉皇帝哈里森「公元1841-1841」
景宗悼皇帝泰勒「公元1841-1845」
中宗献皇帝波尔克「公元1845-1849」
睿宗怀皇帝扎卡里·泰勒「公元1849-1850」
灵宗安皇帝菲尔莫尔「公元1850-1853」
徽宗躁皇帝皮尔斯「公元1853-1857」
元宗桓皇帝布坎南「公元1857-1861」
世祖肃皇帝林肯「公元1861-1865」
显宗章皇帝约翰逊「公元1865-1869」
烈宗武皇帝格兰特「公元1869-1877」
德宗平皇帝海斯「公元1877-1881」
哀宗念皇帝加菲尔德「公元1881-1881」
僖宗炀皇帝阿瑟「公元1881-1885」
英宗睿皇帝克利夫兰「公元1885-1889」「公元1893-1897」
神宗崇皇帝本杰明·哈里森「公元1889-1893」
思宗兴皇帝麦金莱「公元1897-1901」
成祖昭皇帝西奥多·罗斯福「公元1901-1909」
端宗敬皇帝塔夫脱「公元1909-1913」
文宗纯皇帝威尔逊「公元1913-1921」
恭宗康皇帝哈定「公元1921-1923」
熙宗弘皇帝柯立芝「公元1923-1929」
钦宗复皇帝胡佛「公元1929-1933」
圣祖仁皇帝富兰克林·罗斯福「公元1933-1945」
光宗和皇帝杜鲁门「公元1945-1953」
昭宗烈皇帝艾森豪威尔「公元1953-1961」
高祖思皇帝肯尼迪「公元1961-1963」
定宗正皇帝林登·约翰逊「公元1963-1969」
前少帝尼克松（水门候）「公元1969-1974」
宁宗冲皇帝福特「公元1974-1977」
仁宗威皇帝卡特「公元1977-1981」
圣宗温皇帝里根「公元1981-1989」
翼宗霸皇帝老布什「公元1989-1993」
穆宗庄克林顿「公元1993-2001」
宪宗靖皇帝小布什「公元2001-2009」
墨祖义皇帝奥巴马「公元2009-2017」
哀帝特朗普「公元2017-今」",保密,6602,2020-08-11 15:52:49,0,好奇/兴趣
倍宝也好可爱 [惊喜]跟条狗一样,男,6710,2020-08-11 15:53:12,1,愉快/幸福
[热词系列_知识增加],保密,1969,2020-08-11 15:51:51,1,平静/冷静
"我记得有一组照片，川普每次握手都很用力，松开之后其他人的手都发白了，血液不流通。
但是遇到了几个更强的，普京，魔笛，和马克龙，川普被完美克制，甚至想要挣脱。",男,1146,2020-08-11 21:12:43,1,悲伤/痛苦
把各家团团都看了一遍，就你头像离谱🙃,男,894,2020-08-11 20:14:59,0,悲伤/痛苦
安倍：你不要过来啊[囧][囧][囧],保密,509,2020-08-11 15:53:01,0,愤怒/生气
这哪能叫握手嘛，这明明叫做拔河[热词系列_知识增加],女,311,2020-08-11 17:18:37,1,愉快/幸福
搁这拉大锯呢？[tv_doge],女,387,2020-08-11 16:02:55,0,恐惧/害怕
川宝怎么握手也要来回拉手风琴[热词系列_知识增加],保密,285,2020-08-11 16:00:53,1,平静/冷静
"“你暴露了，川建国！”
希婆子轻蔑的看着台上正在作简报的川普。
几十个黑洞洞的枪口对准了川普。
他扫视了一眼前方的一群CⅠA探员，知道自己已无路可逃。
恐惧反而不在川普的脸上。
“洋鬼子们，来吧！用你们污浊子弹向我开枪吧！但请你们看清楚，这些子弹无法污染我纯洁的心灵！”他义正言辞的怒斥着眼前之人。
川普用燃烧着火焰般的坚毅眼神烤问着ClA探员罪恶的灵魂。
他们还是开枪了，川普被洞开的胸口，一腔的热血喷涌而出。
那血，鲜红无比，如同祖国旗帜上的一摸红！
“我自横刀向天笑，去留肝胆两昆仑！”
他用双手抓着讲台稳住身形，向CⅠA探员怒吼着不屈的声音！
在逐渐模糊的意识中川普同志进入了梦乡，他微微听到希婆子的脚步声走近，他露出了微笑的面容。
希婆子伏身在川普耳边轻语：“青山处处理忠骨…”
……
前一天傍晚，在蒙蒙细雨的阳台，一个蓝衫女人走向金发男人。
“是你？”希婆子惊愕到。
“是我！”川普的回答铿锵有力。
他们默契的交换了眼神。
“ ‘他们’已经注意到我了，我想，时间不多了，交接吧！以后的日子，就剩你一个人了，保重”
川普充满期许的望向希婆子。
“保重”
希婆子用成熟的眼神看向川普。
“为了祖国！”，二人一同喊出这自豪的声音。
……
“…何需马革裹尸还！”
在一众解放军官兵的护卫下，一个身着中山装的年迈老人对面前的无字墓碑诉说着关于忠诚的赞歌，老人整顿了一下衣装，向无字墓碑深深的敬了一个军礼，久久的立在原地。
礼毕，老人的眼眶微微泛湿，从自己中山装上胸口袋中掏出一个小小的红领巾，轻轻的别在墓碑上那洁白的花环上。
老人的情绪此时已无法抑制，刚毅的脸上泪如泉涌。
老人轻轻的抚摸着墓碑，深情的说到：“你的名字无人知晓，你的功绩与世长存！”
……
公元2049年，加利福尼亚民主共和国的广场上立起了一座雕像，一座英雄的雕像，基座上有一句描金汉字：没有人比我更懂爱国！！没有！！！（复制）[doge]",保密,147,2020-08-11 16:23:51,0,愤怒/生气
你们有没有注意到川普跟别人握手都笑眯眯的，跟大帝握手笑不出来[哦呼],男,145,2020-08-17 15:34:22,0,悲伤/痛苦
川宝被冷落了，不开心，试图寻求存在感[大笑][大笑][doge],女,79,2020-08-11 16:13:56,0,愤怒/生气
川普握手故意用力把对方往自己这里拉，看起来就会像对方超想和他握手身子都前倾[doge],男,84,2020-08-20 19:09:56,0,愤怒/生气
"川宝和教皇：宝贝，来一个嘛[大笑]。滚！[无语]
川宝和安倍：乖，狗崽[doge]
川宝和普京：[呆]，[嫌弃]
川宝和马克龙，莫迪：痛[尴尬]",保密,63,2020-08-15 15:58:20,0,希望/期待
我来回望历史[滑稽],男,10,2022-07-08 22:26:47,0,平静/冷静
记者：是不是问不起？[doge],女,36367,2020-05-12 15:03:25,0,好奇/兴趣
怎么几个间谍自己吵起来,男,15791,2020-05-12 15:03:14,0,厌恶/讨厌
"🙌没有人
👐比我
👌更懂
☝跑路
[doge]",男,18761,2020-05-12 15:03:22,0,愉快/幸福
"全世界的防疫人员在比赛，想弄清楚谁是最厉害的。他们得到了一个任务：有一个人确诊了新冠，要在最短时间内控制住疫情。
所有的队伍上路了。
一个小时后，中国的防疫人员回来了，“对该患者过去轨迹进行全面排查，找到密切接触者24人，检测阳性10例，全部隔离治疗，疑似者隔离观察。”
“不错，”裁判说，“95分。” 
两个小时后，韩国防疫人员也回来了，“对该宗教人士所在教会人员进行全面搜捕，广泛检测，阳性患者大部分都找到隔离了。”
“不错，”裁判说，“85分。” 
人们继续等待，慢慢的天都黑了。
直到太阳快下山，人们才听到一阵嘈杂，美国的防疫人员回来了：四个白宫官员紧紧抓住一个绝望挣扎的人，就是那第一个确诊患者，与此同时，一边的特朗普疯狂殴打着那个患者：
“快说！快说你只是大号流感！",保密,11837,2020-05-12 15:26:24,1,愤怒/生气
"特:你来问……不你不问了
记者:我要问——
特:你不想问!
记者:我——
特:你不想问!",女,5980,2020-05-12 15:06:01,0,愤怒/生气
"💁👄👴
👴👉🇨🇳
👴👉👸
💁👄❓
👸👄❓
👴➡️🏃",男,10694,2020-05-12 15:12:51,0,厌恶/讨厌
所以关中国啥事[无语]张口就来,保密,3538,2020-05-12 15:10:58,0,厌恶/讨厌
讲道理，现在美国这情况，大罗金仙都救不了，封锁抗疫吧，饿死的人比病死的多，可能死于枪下的更多，开放吧，那真就养蛊了，但不管如何，世界流动性大减，靠服务业为主的美国经济必然大受影响，而内需市场又比不上中国，拉不太动，现在我们国家是唯一的安全区，国内需要准备迎接一大批外资了[吃瓜],保密,4533,2020-05-12 15:14:47,0,愤怒/生气
cnn，fake news！ next！,男,3854,2020-05-12 15:03:27,0,愉快/幸福
那个记者没有领略川普的意思，川普叫她是让她打断红衣女记者的提问，而她非但没有反而让那个红衣女记者继续问，川宝宝当然不开心了！事后，川宝宝生气了，不想听她提问，而她又继续跟他杠。川宝宝嘤嘤嘤，我不要再跟你们讲话了！！[微笑],保密,2679,2020-05-12 15:24:25,0,愤怒/生气
特朗普还是三句不离China[doge],保密,2460,2020-05-12 15:00:54,0,羞耻
他撑不住了,男,1807,2020-05-12 15:03:23,0,厌恶/讨厌
请宝贝转身[doge],男,2131,2020-05-12 15:03:04,0,悲伤/痛苦
这总统怎么和幼儿园小朋友一样的脾性？,保密,1457,2020-05-12 15:14:16,0,厌恶/讨厌
有一说一，纽约时报的排版我很喜欢，突出重点[doge],保密,1463,2020-05-12 22:08:01,1,愉快/幸福
川普：逃避可耻，但是有用[doge],保密,1227,2020-05-12 15:02:14,0,恐惧/害怕
感觉特朗普真的是没有礼貌，连一点最起码的礼数都不懂，且不问记者提出什么问题，特朗普这个时候扭头就走就已经是对他人的侮辱和怠慢。,男,1088,2020-05-12 15:17:12,0,厌恶/讨厌
川建国转身走人之后同志看了看四周并没有人，偷偷的从抽屉里掏出华为手机，放松的听着一首熟悉的歌曲:“洋装虽然穿在身，我心依然是......”.听完后，他的泪水已经沾满了红领巾。他不舍的把华为手机放回抽屉，继续埋头胡乱批改美国资料。,男,725,2020-05-12 21:02:31,0,愤怒/生气
瞧给川普气的,保密,611,2020-05-12 15:03:20,1,平静/冷静
"″别问我，去问中国，我听党指挥""[doge][doge]",保密,29,2020-05-13 13:32:07,0,愤怒/生气
盲猜建国同志用的华为[doge][doge],男,3080,2020-06-19 13:14:21,0,平静/冷静
"川建国：发点什么好呢？
有了China.China.China[doge][doge][doge][doge]",男,811,2020-06-19 13:14:35,1,愉快/幸福
像极了你们上课的时候[doge][doge],男,864,2020-06-19 13:14:06,0,愤怒/生气
"[doge]这个才是灵魂之所在
🙌没有人
👐比我
🤘更懂
☝开会",保密,484,2020-06-19 13:22:41,0,愤怒/生气
热卖学习川建国像极了我在家这种上网课的学霸[热词系列_知识增加][热词系列_知识增加],保密,294,2020-06-19 13:15:29,0,悲伤/痛苦
你们都不知道，建国其实在手机上刷的青年大学习。,保密,254,2020-06-19 15:39:28,0,厌恶/讨厌
[热词系列_泪目]建国同志可能是想家，想在推特上发句China！可又怕暴露身份[热词系列_保护][doge],男,105,2020-06-19 13:22:08,0,愤怒/生气
上网课的我[doge],男,61,2020-06-19 13:14:31,0,希望/期待
川普：青年大学习还没看呢,男,4,2020-07-12 11:46:52,0,平静/冷静
推特治国石锤了,保密,5,2020-07-10 22:45:02,0,愤怒/生气
学校新思想，争做新青年[doge],保密,4,2020-07-10 22:16:59,1,愉快/幸福
像极我上网课的样子,男,1,2020-07-08 11:17:24,0,恐惧/害怕
居然有点可爱？怎么肥四哈哈哈嗝,保密,1,2020-07-06 15:15:21,0,愉快/幸福
我还以为是谁结果居然是广东团团[热词系列_问号][热词系列_知识增加][热词系列_可以],保密,1,2020-07-06 00:41:27,1,愉快/幸福
发怒一分钟，便失去一分钟的幸福,男,1,2020-07-03 12:09:29,0,平静/冷静
我能发评论啦😄!!!,保密,1,2020-07-02 14:40:29,0,愉快/幸福
像极了上网课的我[滑稽],保密,4,2020-06-30 09:58:28,0,恐惧/害怕
建国：我明明再记录笔记，没人比我更懂开会。[妙啊],男,2,2020-06-29 20:17:59,0,恐惧/害怕
"美国队长：内战
美国政府：内奸
美国总统：内鬼
美国枪击：内行
美国政权 : 内讧
美国选举：内幕
美国子弹 : 内销
美国政党 : 内斗
美国官员 : 内定
美国未来 : 内患
美国公民：内乱
美国民主：内味",保密,24,2020-06-26 16:14:04,0,愤怒/生气
死鬼，还不回来,保密,1,2020-06-26 16:05:41,0,厌恶/讨厌
官方玩梗最为致命[吃瓜],男,8072,2019-10-10 19:12:49,0,平静/冷静
各地共青团都开始深入B站文化了，[滑稽][滑稽]以后谁敢发律师函,男,4442,2019-10-10 20:26:37,0,厌恶/讨厌
虽然很多人还在某微某博挖苦嘲笑摸黑华为，但是，美国比这些人清楚，核心技术与普通技术之间的差别所在。华为是真正掌握了核心技术的一批中国公司，所以美国才要整。只是可惜了，有钱能使鬼推磨，一点小钱就可以让大批水军在互联网抹黑华为。水军压根就不会知道，一个华为关他们什么事，反正现在有钱拿，把华为抹黑又不会怎么样。,保密,4879,2019-10-10 19:07:46,0,厌恶/讨厌
"英法属实真香啊
感谢老铁刷的300架空客，抱拳了。",女,2967,2019-10-10 19:20:35,0,悲伤/痛苦
怎么也弄不死的华为[滑稽],保密,2474,2019-10-10 19:04:42,0,厌恶/讨厌
你们老是迫害川建国同志，我们战忽局的工作很难做啊,男,1839,2019-10-10 19:43:25,0,平静/冷静
诺基亚后面那个是摩托罗拉，可能有的小伙伴们不知道，所以我讲一下[妙啊],保密,1086,2019-10-10 19:20:35,0,恐惧/害怕
"你们这些官方就这么喜欢带头搞事？？？
巧了我也喜欢[吃瓜]",男,921,2019-10-10 19:18:50,0,悲伤/痛苦
"美：你们不能买华为的设备!那样你们会被中国监听的!
欧洲：等下，你怎么知道我们买华为的？
美：默克尔电话里面说的。。。",男,856,2019-10-12 18:04:09,0,愤怒/生气
你说这个华为……厉害吗？,男,742,2019-10-10 19:22:52,0,厌恶/讨厌
