评论内容,性别,点赞数量,回复时间,tags,emotions
没脑子，但是笑的灿烂的人，特朗普早预言了像哈里斯这种人了,保密,65,2024-11-10 07:37:14,0,悲伤/痛苦
川建国当总统这四年自己资产缩水了快20亿。克林顿和奥黑缺赚的盆满钵满。,保密,43,2021-01-31 14:13:20,0,厌恶/讨厌
"我同桌有本特朗普自传[doge]住校生考完试在学校没事看完了，我当时问她借，一群人还贼震惊，说啥不会吧不会真有人看川普的书吧[妙啊]
说实话害挺好看的，写经商的，还有些面对困难的方法，我觉得害写得挺好的，作为一个商人他应该还算蛮流弊的吧[doge]",保密,40,2021-02-12 23:50:32,0,厌恶/讨厌
年轻的特朗普不弹手风琴。,男,23,2021-01-18 23:36:34,0,平静/冷静
奥巴马也不是什么好东西，白等也是,保密,25,2021-01-23 11:28:19,0,平静/冷静
美军武装直升机数量锐减,保密,1803,2024-12-23 18:53:54,0,厌恶/讨厌
冷知识，现在注册谷歌账号，填写性别那一栏是可以自定义的[辣眼睛],保密,1539,2024-12-24 00:42:05,1,愤怒/生气
那我不是白切了吗,保密,1425,2024-12-24 09:56:16,0,平静/冷静
川普好忙啊，上任第一天“创世纪”,男,772,2024-12-23 17:22:16,0,悲伤/痛苦
坏了，变正常了,男,1269,2024-12-23 18:20:15,0,厌恶/讨厌
丸辣，他们要正常了,保密,1258,2024-12-24 09:01:01,0,厌恶/讨厌
明明是一件再正常不过的事，却能引起轩然大波,男,164,2024-12-24 21:15:51,0,厌恶/讨厌
懂王过于正常导致和那帮子人格格不入,男,875,2024-12-23 18:52:06,0,厌恶/讨厌
"这谁分的清啊[黎明觉醒_石化鸦]
1. 男性
2. 女性
3. 非二元性别
4. 性别酷儿
5. 性别流动
6. 双性
7. 无性别
8. 双灵
9. 跨性别男性
10. 跨性别女性
11. 性别中性
12. 性别非确认
13. 无性别感
14. 性别任意
15. 性别模糊
16. 性别非明确
17. 性别神秘
18. 中性性别
19. 交性别
20. 多元性别
21. 两性特征者
22. 异性身份
23. 跨性别
24. 双性恋性别者
25. 三性别者
26. 性别三元
27. 无性别认同者
28. 混合性别
29. 性别创造者
30. X性别
31. 灰色性别
32. 新性别
33. 性别不一致
34. 性别反叛者
35. 性别冒险者
36. 性别自由者
37. 性别跃动者
38. 性别凝滞者
39. 性别心流者
40. 性别穿越者
41. 性别怪诞者
42. 性别个性者
43. 性别漂移者
44. 性别混合体
45. 性别频谱
46. 性别自命者
47. 性别缺失者
48. 交织性别
49. 性别认同反弹者
50. 性别梦幻者
51. 性别骇客
52. 无限性别
53. 无名性别
54. 性别回响者
55. 性别镜像者
56. 跨文化性别
57. 性别叛逆者
58. 性别光谱游民
59. 性别通道
60. 性别彩虹者
61. 性别宇宙者
62. 性别季节者
63. 性别情感者
64. 性别时间者
65. 性别心灵者
66. 性别领域者
67. 性别幻觉者
68. 性别幻影者
69. 性别宇航者
70. 性别同步者
71. 性别极光者
72. 性别旅人
73. 性别结构者
74. 性别谐波者
75. 性别魔法者
76. 性别自然者
77. 性别艺术者
78. 性别谱曲者
79. 性别虚拟者
80. 性别全观者
81. 性别微调者
82. 性别融合者
83. 性别溶解者
84. 性别多面者
85. 性别心像者
86. 性别瞬变者
87. 性别编织者
88. 性别共振者
89. 性别视界者
90. 性别记忆者
91. 性别反转者
92. 性别幻影舞者
93. 性别振动者
94. 性别原型者
95. 性别迷雾者
96. 性别之声者
97. 性别空间者",保密,346,2024-12-25 20:59:34,0,愤怒/生气
川普这波伤害了药企的利益，登子任期里，药企用性激素类药物获取了大量利益，好不容易养出来一大片韭菜 结果让川普把韭菜地给扬了，要么川普会从别的地儿找补给药企 ，要么等药企搞事情,保密,405,2024-12-23 18:37:25,0,愤怒/生气
说实话美国现在好多性别名称看不懂[笑哭],保密,541,2024-12-23 22:48:27,0,恐惧/害怕
生儿育女的马斯克不就为了这一口😂,男,31,2024-12-23 23:31:21,0,恐惧/害怕
首先，我是臭打游戏的，我支持锤爆lgbt的狗头。,男,10,2024-12-24 13:36:17,0,厌恶/讨厌
据说，美国性别有112种，武装直升机、沃尔玛购物袋，艾布拉姆斯坦克，布拉德利战车[笑哭]这都什么跟什么,男,614,2024-12-23 19:45:31,0,悲伤/痛苦
讨厌的不是lgbt，而是利用自己lgbt身份搞事的，上纲上线的，索要特权的。正常的只要不乱搞你想穿什么衣服，找男朋友还是女朋友，都没人会管你的，只要不影响别人,男,74,2024-12-26 16:40:54,0,厌恶/讨厌
懂王这个政策，我相信大多数地球人都支持[OK],男,100,2024-12-24 16:19:05,1,悲伤/痛苦
明明很正常的一件事情却需要美国总统来宣布,男,130,2024-12-24 21:10:09,1,愉快/幸福
将军：人分为男人和女人,保密,107,2024-12-24 12:18:47,0,厌恶/讨厌
"华盛顿：两百年过去了，现在美国一定是高等文明国家了吧[微笑]
白宫：世界上只有男人和女人两种性别！
华盛顿：怎么还退化了[无语][无语][无语]",男,11,2024-12-24 13:50:58,0,愤怒/生气
仝星哭得最大声的一集[吃瓜],男,2354,2024-12-23 17:02:36,0,恐惧/害怕
这是不是好早以前的了？[doge],男,1454,2020-05-13 09:57:51,0,愉快/幸福
福建好穷，现在才通网,保密,907,2020-05-13 10:09:42,0,恐惧/害怕
看来懂王是宇宙网红、顶级流量，不管全地球发生了什么事，懂王都能上热搜[喜极而泣],女,391,2020-05-13 09:59:39,1,悲伤/痛苦
这都几个月前的了[tv_doge]，就硬蹭,男,207,2020-05-13 10:05:08,0,平静/冷静
建议福建团团多搬运点台（yu）湾（le）新闻，毕竟一水之隔[tv_斜眼笑][tv_斜眼笑][tv_斜眼笑],男,158,2020-05-13 10:24:37,0,平静/冷静
"[蛆音娘_卖萌]没人
[蛆音娘_摇头]比我
[蛆音娘_机智]更懂
[蛆音娘_大笑]民心",男,133,2020-05-13 10:00:48,0,愤怒/生气
大清亡了，终于通网了！[doge],保密,46,2020-05-13 11:20:00,0,悲伤/痛苦
他让世界免于安静[囧],男,32,2020-05-13 10:07:23,0,希望/期待
To save the world .. from ... harmony... ?,保密,1,2020-05-31 18:01:37,0,平静/冷静
西兰花变小了[吃瓜],保密,2,2020-05-13 16:00:10,0,平静/冷静
移动的业务太不行了，网怎么才刚刚连上？[doge][doge][doge][doge][doge][doge][doge][doge][doge][doge][doge][doge][doge][doge],男,27,2020-05-13 14:04:53,0,厌恶/讨厌
采访第一个时，那个“她”让我笑出声[笑哭],女,9,2020-05-13 12:58:07,0,愤怒/生气
刚刚连上4G  [抠鼻],保密,30,2020-05-13 12:31:48,0,厌恶/讨厌
这是好几年前的了[doge],保密,6,2020-05-13 11:13:35,0,平静/冷静
我上次看这个视频还没有上网课呢,男,26,2020-05-13 10:08:11,0,恐惧/害怕
這都是好幾年前的視頻了   能不能與時俱進啊,保密,5,2020-05-13 10:08:10,0,平静/冷静
這都是好幾年前的視頻了,保密,10,2020-05-13 10:07:50,0,平静/冷静
"没有人
比我
更懂
西蓝花",男,15,2020-05-13 10:04:53,0,平静/冷静
"没有人
比我
更懂
世界和平
[doge]",男,1,2020-05-13 10:00:35,0,希望/期待
哈哈哈哈哈哈哈哈,男,6,2020-05-13 09:58:56,0,羞耻
我吃我的中餐，你吃你的西餐。如果你非要说拿刀叉的比拿筷子的高人一等，那大家就没有必要在一张桌子上吃饭了。。。[呲牙],男,3971,2024-07-17 17:26:06,0,厌恶/讨厌
一个高血脂，一个低血糖……接下来看时间了,保密,1046,2024-07-17 20:33:10,0,悲伤/痛苦
从一个自作聪明的虚伪对手转变成更务实更直接的对手，从竞争难度来说是加大了，但竞争的感性感受变好了。可以预见中美之后会直拳相向，本来还期待阿美再让民主党带着小丑几年走向破败，只能说阿美的国运还是刹住车了。,保密,1310,2024-07-17 17:11:27,0,厌恶/讨厌
三分清醒六分醉，还有一分旧梦里。,保密,1434,2024-07-17 16:34:36,0,平静/冷静
由奢入俭难，我觉得牢美现在让工业回流的难度不亚于我国在芯片领域的研究,保密,845,2024-07-17 20:57:33,1,厌恶/讨厌
美国对华政策在最近的三十多年应该说并没有什么大的失误，造成今天这种局面的关键原因有两点：一是中国的发展速度远超包括我们自己在内的所有人的想象；二是美国作为一个国家，其组织动员能力和政策执行力的下滑速度远超包括美国人自己在内的所有人的想象。,男,669,2024-07-18 02:02:00,0,愤怒/生气
万斯的观点很简单，美国要发展工业，这也是共和党的共识，包括maga和建制派。目前共和党倾向于追赶中国第四次工业革命的脚步，重新成为制造业大国。而民主党则在发展金融业的道路上一去不返，因为民主党高层和犹太权贵事实上已经一体化，犹太人是不可能做实业的,男,762,2024-07-19 09:10:43,1,厌恶/讨厌
他说这句话的目的不是为了去真的表达自己的看法要阻止中国，而是为了抨击拜登政府，所以要强调中国的强大对美国来说是不好的，之后加上一句这是因为拜登政府导致的。万斯作为懂王的得力干将在当时那个时期发表讲话的重点大部分是是为懂王拉选票。他自己怎么想的不重要，重要的是大部分美国人民不想看到中国强大到威胁美国，正如大部分中国人乐于见到美国的衰落一样。立场问题，没办法。,保密,479,2024-10-22 05:50:18,0,厌恶/讨厌
从万斯演讲上能看出来，他和特朗普都是极端的强硬派，但是区别就是川普偏感性，擅长煽动红脖子，这个万斯更理性，分析能力比川普要强一点，可以说这个副手找的是很好的,保密,399,2024-07-23 12:20:45,1,平静/冷静
笑死[笑哭]这人说一句就疯狂叠几次甲,男,732,2024-07-17 17:33:09,0,愤怒/生气
"枪手扣动扳机的一刻。
迈克尔·杰克逊：嘿！老朋友，你还有很多事情要做，不是吗？
川普（转头）：what？",保密,603,2024-07-17 18:01:50,0,愤怒/生气
美国要变回真正的工业国，他的人均收入会跌到低于日德的水平，这是工业规模和人口基数匹配的必然结果，中国也同样如此。,男,287,2024-07-17 21:28:32,1,厌恶/讨厌
奥巴马当政时期也意识到了呀，可没办法,保密,224,2024-07-17 18:45:18,0,愤怒/生气
"就这样了，还有一群人说什么我们不能自绝于国际社会，修复和美国的关系。
人家都明说了就是要中国当一辈子狗，还不愿意信呢",保密,274,2024-07-17 20:35:30,0,愤怒/生气
金融资本内生的恶性，就是阻碍世界大多数人的。不以人的意志为转移。特别是人口大国，金融资本必须收到严格控制，他们无国界，无底线，不在乎底层人的生死，哪怕表面装饰的光面堂皇，没在就是利用资金的周转不断的收割下层的劳动财富，利用认知差距控制财富。,保密,118,2024-07-17 21:51:30,0,愤怒/生气
那你又能怎么样呢？现在就差热战了吧，我滴乖乖,保密,153,2024-07-17 17:25:38,0,厌恶/讨厌
所以，我们就没有和解这一选项[doge],保密,136,2024-07-17 16:46:08,0,厌恶/讨厌
不错，怪自己可比怪别人难太多,保密,118,2024-07-17 16:33:10,0,平静/冷静
爱咋说咋说我们搞好自己的事,保密,127,2024-07-17 16:38:29,0,愤怒/生气
你不能又生产美元又生产商品两个好处都给你占了,保密,90,2024-07-18 00:20:39,0,悲伤/痛苦
是我们误会川宝了，川宝一直都在把自己知道的一切告诉我们[热词系列_知识增加],男,15396,2021-08-12 17:26:21,0,愤怒/生气
什么是真正的远见和高瞻远瞩，懂王名副其实，在被铺天盖地媒体的抹黑和愚弄之下，仍然散发出真诚与智慧的光辉[doge],男,8996,2021-08-12 17:27:17,1,愤怒/生气
"特朗普：
🙌没有人
👐比我
👌更懂
☝新冠病毒
[doge][doge][doge]",男,6749,2021-08-12 17:27:57,0,悲伤/痛苦
我觉得两个一起吧，德堡和北卡,保密,4248,2021-08-12 17:40:51,1,平静/冷静
其实相比于那些老政客，特朗普许多话看着荒谬搞笑但大多在最后都得到了验证，可能他才是最诚实的那个[思考],男,6361,2021-08-12 22:21:19,1,惊讶/震惊
我悟了，原来世卫组织一直在强调新冠病毒并非来自实验室，这是在为美国做辩护[doge][脱单doge],男,2362,2021-08-12 17:49:57,0,愤怒/生气
我宁可懂王搞他那套maga，跟中国明对着干，也不想让睡王背地里找些有的没的公知ngo在咱们背后搞小动作[无语],保密,2410,2021-08-13 00:10:46,0,愤怒/生气
"天台上，一个满头金发的老人扶着栏杆，遥望着东方，嘴里操着一口奇怪的普通话喃喃的念道：散年又散年，窝已经做到了老打的位置，连普通话都快忘了怎么说，到底什么时候才能回家，呲上一口正宗的蛋炒饭。这时，电话铃声突然响起，抬手接通，电话那头传来了一个熟悉的声音：洞拐洞拐，这里是黄河一号，有内鬼，停止任务，你的身份已暴露，请速撤离！请速撤离！喂，建国同志，你听到了嘛？建国同志？！
    金发老人想回答，可是已经说不出话来，数把M416不知什么时候已经顶在了他的后背和胸前，一个面目狰狞的老妇款款行至川建国面前，得意的道：特没谱，不，是川建国，从大选输给你的那天起，我就知道，我输给的不是你一个人，而是一个组织，一个强大阴险的国家机器！没想到他们的人居然能潜伏到总统的位置！
    谢谢你，希拉外，这是我第一次在这片陌生的土地上听到有人叫我的真名，金发老人惨笑道。眼神中平日故意伪装出的愚蠢和迷离已经消失不见，只剩下释然和解脱的神色。
    跟我们走一趟吧，我相信议会的先生们很愿意听听总统先生亲自讲讲他是怎么一步步走到这个位置的，期间到底有多少人给你提供过帮助，或者说你们到底还潜伏了多少人！希拉外抿着嘴唇，高傲的说到。
    不，你无法从一个死人嘴里得到任何情报，川建国笑了笑，此时的他似乎找回了平时的感觉，笑的像个老不正经的花花公子。什么？！还没有等希拉外做出反应，川建国已经矫健的从天台翻出，像只飞鸟般张开双手，飞向他朝思暮想的家乡。轰的一声巨响，建国已经落地，从一百多米高的帝国大厦落下，再无生机。他的身下是一滩刺目的血，嘴角却带着笑，慈祥而平静，只有胸前的红领带被鲜血染得血红，像是一团永不熄灭的火焰。
    天台上，希拉外望着这一幕，目瞪口呆，不可置信的喃喃自语道：这个疯子，到底是什么，让你可以舍弃美利坚给你的荣华富贵和至高权力，甚至连自己的生命都可以抛弃的如此轻松，一个国家可以派出这么多这样的人，太疯狂，太可怕了。
    电话那头一直没有挂断，听到这声巨响，已经明白了一切，沉默了片刻，一个声音颤抖着轻声说道：任务已结束，建国同志，欢迎回家。
希拉外挥退了安全部队，办公室里除了希拉外空无一人，只见她缓步走到办公桌前，拿起对讲机，望着楼下渐渐聚集的人群中那一抹刺眼的猩红，坚定地说：建国同志已牺牲，希拉外将继续执行任务，完毕。[doge]",保密,3167,2021-08-12 21:07:31,0,愤怒/生气
最恐怖的地方是什么？最恐怖的是国内几乎所有人都觉得这种病毒不可能由人为制造是自然界的产物  而事实却告诉我们美国早就掌握了这种科技  这种科技的差距才是最恐怖的地方。,男,6274,2021-08-12 21:14:02,0,厌恶/讨厌
当“懂王”这个称呼不再是玩笑,保密,1620,2021-08-12 17:46:52,0,恐惧/害怕
卧底太成功，祖国都没发现[doge][笑哭],保密,1483,2021-08-12 17:39:23,0,悲伤/痛苦
懂王从得病到治愈也就三天左右吧,保密,931,2021-08-12 18:03:17,0,平静/冷静
本来以为是个小丑在演戏，说的话当笑话看就好了，结果现在越来越多的真相浮出水面以后发现这家伙真的像是在暗示全世界的人什么东西一样[辣眼睛],男,930,2021-08-14 17:20:58,0,悲伤/痛苦
看似川宝好像很搞笑，其实人家早都在大气层里了，只是我们根本看不出来[藏狐],男,761,2021-08-12 19:51:26,1,悲伤/痛苦
这种卧底，对现在的人类来说还是太草了,保密,854,2021-08-12 17:42:54,0,平静/冷静
有些人 一直在说真话  但一直没人相信 许久以后 人们追悔莫及 建国同志[大哭],男,364,2021-08-12 20:58:12,0,愤怒/生气
别说了，川宝的确是美国最聪明的人。你看吧，美国只有走川宝道路，否则就完蛋了。（我真的不是黑他，你们走着看，如果川宝在不上台美国马上就崩了，一个国家不可能被一个总统搞出问题，总统都能出问题的原因是国家本身不团结。你看川宝后面那个啥样？能看不出问题吗？川宝是真的想救国，而且是一个实事求是的人，真心诚意到说谎都难）,保密,344,2021-08-13 10:06:52,0,愤怒/生气
川建国同志真是辛苦了，为人民做了这么多。[tv_doge][tv_doge][tv_doge][tv_doge][tv_doge][tv_doge],保密,192,2021-08-12 17:30:18,1,愉快/幸福
"另一篇差不多内容的视频下面在大骂拜登，视频标题说他这波彻底洗不白了。
这一篇下面大赞川普为人。
搞毛线？？？
19年在位的是川普，是他直接把病毒名字跟我国挂钩。
开玩笑也有个限度。
各位up主也有责任。",男,382,2021-08-15 06:27:00,0,愤怒/生气
我发现，马斯克干什么最初都是被看衰的！[笑哭],保密,858,2024-12-02 14:49:23,0,悲伤/痛苦
美利坚保国公，深黑MAGA一字并肩王，第一哥们儿，守望先锋天使的男朋友，暗黑4深坑天梯全球前20，互联网第一巨魔，未来的火星领主，一龙马斯克先生。,男,547,2024-12-02 16:13:37,0,悲伤/痛苦
这课我学过王安石变法[doge_金箍],保密,145,2024-12-03 19:54:51,0,愤怒/生气
又是童年的经历，实际上只因为他就是老板，他是最大的受益者。而其他人无论职位高低、收入高低，都是在他的雇佣之下的。,男,141,2024-12-02 20:41:32,0,悲伤/痛苦
那个AI短片的中文版被b站下架了哈哈哈，很搞笑,保密,102,2024-12-02 21:55:13,1,愉快/幸福
我只能说马斯克的员工没有在中国私企上过班,男,147,2024-12-02 19:25:18,0,厌恶/讨厌
马斯克牛逼是真的干啥啥成功，我记得几年前还有人嘲讽星链， 现在都被打脸了吧,保密,116,2024-12-03 11:56:14,0,愤怒/生气
"我有着另一层解读。
马斯克太年轻了，他有头脑，他现在政治不成熟，但是他不怕失败，这次的从政能否让他从商人变成政客。
别忘了，特朗普老了！
而马斯克和特朗普有着相思的经历和性子。
别忘了特朗普也是从商业大亨变成总统的。
别忘了特朗普之前也是商业治国。
也别忘了，特朗普和马斯克一样，都是说大话吹牛，但是他们都想把他变成现实是真的付出行动的，就像特朗普年轻的时候在采访中说，我想当总统，我会实现它的，所有人都哄堂大笑，但是唯独特朗普没有笑。
所以从这点上来说特朗普和马斯克是同路人。
但特朗普和马斯克又不同，因为特朗普真的转变了或者说特朗普虽然是商人但是他有着政客的潜力。但马斯克在我看来政客潜力太差。
马斯克现在被提名了副总统，权利之大，地位之高，一旦转变成功未尝不会变成总统。但他会成功么？
美国现在病入膏肓，国内群狼似虎，政治派别错综复杂，他把握的住么？
政治不是商业，政治考虑的天下是平衡，而商业考虑的利益，在我看来美国的底层不反抗不觉醒，不来一场对资本的清算反击，是无法救治的。
特朗普和马斯克他们我感觉更多的是王安石变法，只不过王安石是真心想改革可惜不切实际，而马斯克和特朗普是改革自己的利益。
马斯克和特朗普能活下来再说吧，毕竟华尔街那批狼，可不是吃素的",保密,87,2024-12-14 00:03:34,0,恐惧/害怕
